Epoch [1/50], Accuracy: 89.23%
Epoch [2/50], Accuracy: 94.30%
Epoch [3/50], Accuracy: 95.88%
Epoch [4/50], Accuracy: 96.65%
Epoch [5/50], Accuracy: 97.09%
Epoch [6/50], Accuracy: 97.53%
Epoch [7/50], Accuracy: 97.74%
Epoch [8/50], Accuracy: 97.87%
Epoch [9/50], Accuracy: 98.14%
Epoch [10/50], Accuracy: 98.25%
Epoch [11/50], Accuracy: 98.36%
Epoch [12/50], Accuracy: 98.43%
Epoch [13/50], Accuracy: 98.53%
Epoch [14/50], Accuracy: 98.67%
Epoch [15/50], Accuracy: 98.71%
Epoch [16/50], Accuracy: 98.89%
Epoch [17/50], Accuracy: 98.86%
Epoch [18/50], Accuracy: 98.90%
Epoch [19/50], Accuracy: 98.98%
Epoch [20/50], Accuracy: 99.00%
Epoch [21/50], Accuracy: 99.19%
Epoch [22/50], Accuracy: 99.06%
Epoch [23/50], Accuracy: 99.20%
Epoch [24/50], Accuracy: 99.13%
Epoch [25/50], Accuracy: 99.23%
Epoch [26/50], Accuracy: 99.26%
Epoch [27/50], Accuracy: 99.23%
Epoch [28/50], Accuracy: 99.32%
Epoch [29/50], Accuracy: 99.27%
Epoch [30/50], Accuracy: 99.34%
Epoch [31/50], Accuracy: 99.42%
Epoch [32/50], Accuracy: 99.44%
Epoch [33/50], Accuracy: 99.45%
Epoch [34/50], Accuracy: 99.32%
Epoch [35/50], Accuracy: 99.52%
Epoch [36/50], Accuracy: 99.51%
Epoch [37/50], Accuracy: 99.39%
Epoch [38/50], Accuracy: 99.40%
Epoch [39/50], Accuracy: 99.50%
Epoch [40/50], Accuracy: 99.38%
Epoch [41/50], Accuracy: 99.58%
Epoch [42/50], Accuracy: 99.51%
Epoch [43/50], Accuracy: 99.49%
Epoch [44/50], Accuracy: 99.57%
Epoch [45/50], Accuracy: 99.48%
Epoch [46/50], Accuracy: 99.49%
Epoch [47/50], Accuracy: 99.66%
Epoch [48/50], Accuracy: 99.59%
Epoch [49/50], Accuracy: 99.57%
Epoch [50/50], Accuracy: 99.54%
Test Accuracy: 97.89%
